id,name,avgHomePrice,priceSource,notes
the-glebe,The Glebe,1198947,AgentInOttawa Oct 2024,"28 homes sold, -11.5% YoY, median $1,365,000"
old-ottawa-east,Old Ottawa East,850000,Estimated from nearby 2025,"Canal-adjacent, townhouses and condos prevalent"
westboro,Westboro,930315,AgentInOttawa Oct 2024,"23.1% selling above listing, range $500K-$1M most common"
byward-market,Byward Market,520000,Estimated 2025,"Primarily condos, mixed housing stock"
centretown,Centretown,501560,AgentInOttawa Oct 2024,"89 homes sold, -2.2% YoY, condo-heavy"
old-ottawa-south,Old Ottawa South,1100000,Zolo Dec 2024,"49% above Ottawa average, heritage homes"
riverside-park,Riverside Park,650000,Estimated 2025,"More affordable, near Mooney's Bay"
hintonburg,Hintonburg,675600,AgentInOttawa Oct 2024,"5 homes sold, +3.7% YoY, gentrifying"
wellington-village,Wellington Village,850000,Estimated 2025,"Island Park area, premium west end"
kanata,Kanata,693710,AgentInOttawa Nov 2025,"Freehold average, tech hub area"
stittsville,Stittsville,790918,ottawaishome 2025,"Family suburb, mix of housing types"
alta-vista,Alta Vista,754095,AgentInOttawa Jan 2025,"73 homes sold, +3.4% YoY, near hospital corridor"
sandy-hill,Sandy Hill,487581,AgentInOttawa Jan 2025,"21 homes sold, -11.2% YoY, student area"
orleans,Orleans,700000,Estimated from market 2025,"Family-oriented suburb, townhomes $544K avg"
barrhaven,Barrhaven,670476,ottawaishome 2025,"Family suburb, includes detached and townhouses"
bayshore,Bayshore,439190,AgentInOttawa Oct 2024,"10 homes sold, -10.7% YoY, affordable LRT area"
bells-corners,Bells Corners,550000,AgentInOttawa 2025,"73% detached under $400K, affordable suburban"
carlington,Carlington,590000,Zolo Dec 2025,"12% below Ottawa average, bungalows $525K-$650K"
hunt-club,Hunt Club,582892,AgentInOttawa Oct 2024,"47 homes sold, +6.7% YoY"
riverside-south,Riverside South,754416,AgentInOttawa 2025,"16.5% selling above listing, new development"
manotick,Manotick,1120987,AgentInOttawa Oct 2024,"66 homes sold, +8.4% YoY, village charm"
vars,Vars-Navan,700000,Estimated 2025,"Rural area, limited market data"
carp,Carp,787000,Zolo Dec 2024,"11% below Ottawa average, rural village"
constance-bay,Constance Bay,720000,Zolo Dec 2024,"24% below Ottawa average, waterfront properties"
richmond,Richmond,737064,AgentInOttawa 2025,"59 homes sold, -7% YoY, growing village"
metcalfe,Metcalfe-Osgoode,853000,Zolo Dec 2024,"10% below Ottawa average, rural south"
nepean,Nepean,650000,Estimated 2025,"Mixed suburban areas"
merivale,Merivale,650000,Estimated 2025,"Merivale Gardens and surrounding areas"
vanier,Vanier,478375,AgentInOttawa Oct 2024,"69 homes sold, -0.9% YoY, most affordable central"
new-edinburgh,New Edinburgh,895774,AgentInOttawa 2025,"23 homes sold, +18.3% YoY, historic charm"
pineview,Pineview,463942,AgentInOttawa 2025,"98 homes sold, -2.9% YoY, 39% below Ottawa avg"
cyrville,Cyrville,424000,Zolo 2025,"Condos avg $424K, mostly mid-century attached"
findlay-creek,Findlay Creek,750000,AgentInOttawa 2025,"Median list $774K, 63% row/semi-detached"
greely,Greely,1100000,Zolo 2025,"Estate-style homes, $900K-$1.5M typical range"
north-gower,North Gower,750000,Zolo 2025,"Rural village, farmland properties"
dunrobin,Dunrobin,850000,Zolo 2025,"Rural Ottawa River area, larger lots"
belair-heights,Bel Air Heights,620000,Estimated 2025,"Established suburban, mix of housing types"
kanata-lakes,Kanata Lakes,891533,AgentInOttawa 2025,"45 homes sold, -4.3% YoY, premium Kanata"
bridlewood,Bridlewood,762472,AgentInOttawa 2025,"38 homes sold, +12% YoY, family-friendly"
beaverbrook,Beaverbrook,647947,AgentInOttawa 2025,"30 homes sold, +24.7% YoY, mature trees"
blackburn-hamlet,Blackburn Hamlet,450000,davidandmarie 2025,"Detached $300K-$500K, village feel"
rockcliffe-park,Rockcliffe Park,1500000,Estimated 2025,"Ottawa's wealthiest, $1M-$5M+ range"
manor-park,Manor Park,800000,Estimated from area 2025,"Detached median ~$1.1M, condos ~$417K"
centrepointe,Centrepointe,653528,AgentInOttawa 2024,"32 homes sold, -4.5% YoY"
greenboro,Greenboro,554629,AgentInOttawa 2025,"Part of South Keys area, +1.8% YoY"
south-keys,South Keys,554629,AgentInOttawa 2025,"LRT access, affordable south end"
lowertown,Lowertown,500000,Estimated 2025,"Downtown adjacent, mixed housing"
overbrook,Overbrook,550000,Estimated 2025,"East central, improving area"
chapel-hill,Chapel Hill,720000,Estimated 2025,"Orleans area, family neighbourhood"
fallingbrook,Fallingbrook,750000,Estimated 2025,"Orleans premium area"
half-moon-bay,Half Moon Bay,766488,AgentInOttawa 2025,"Barrhaven waterfront, -1.3% YoY"
civic-hospital,Civic Hospital,750000,Estimated 2025,"Near hospital, premium location"
dows-lake,Dows Lake,900000,Estimated 2025,"Desirable central location"
katimavik,Katimavik,561158,AgentInOttawa 2025,"36 homes sold, +11.2% YoY"
strandherd,Strandherd,601914,AgentInOttawa 2025,"43 homes sold, +1.3% YoY"
pheasant-run,Pheasant Run,535010,AgentInOttawa 2025,"25 homes sold, -6.4% YoY"
emerald-meadows,Emerald Meadows,675688,AgentInOttawa 2025,"87 homes sold, -0.5% YoY"
